iter	Logloss
0	0.5494105668
1	0.4432121589
2	0.3684361921
3	0.3105045158
4	0.2683084127
5	0.2416056427
6	0.2220451298
7	0.208521894
8	0.1966558355
9	0.1853927689
10	0.1771627439
11	0.1711265763
12	0.164233325
13	0.1602460513
14	0.1565620341
15	0.1525302059
16	0.1496754263
17	0.1472994364
18	0.1448564054
19	0.141548805
20	0.139522419
21	0.1378264009
22	0.1360295205
23	0.1341404545
24	0.1322176461
25	0.1302784254
26	0.1291411763
27	0.1282503103
28	0.1267281648
29	0.1257728959
30	0.1251271083
31	0.1240133555
32	0.1223279652
33	0.1215700702
34	0.120591947
35	0.1198237295
36	0.1190068532
37	0.1184657215
38	0.1178046025
39	0.1172215456
40	0.1166853695
41	0.1160447014
42	0.1150128436
43	0.1140742806
44	0.1135847448
45	0.1131437135
46	0.1128337419
47	0.1124518657
48	0.1117513503
49	0.1115846181
50	0.1112251058
51	0.1108263407
52	0.1106268804
53	0.1102734853
54	0.1095683974
55	0.109214167
56	0.1086331755
57	0.1081708464
58	0.1076756814
59	0.1073107384
60	0.1070363038
61	0.1064949693
62	0.1062279874
63	0.1057868143
64	0.1055242369
65	0.1051674687
66	0.1048634868
67	0.1046445935
68	0.1044831118
69	0.1042219949
70	0.1040438558
71	0.103790745
72	0.1035568033
73	0.1033065469
74	0.1028462652
75	0.1026089888
76	0.102305875
77	0.102154696
78	0.101906942
79	0.1017116066
80	0.1015479164
81	0.101061663
82	0.1008306188
83	0.10029463
84	0.1001276843
85	0.09961041271
86	0.09913187139
87	0.09900384146
88	0.0984745157
89	0.09825366141
90	0.09790858788
91	0.09775402869
92	0.09738611379
93	0.09728352093
94	0.09715956094
95	0.09698478682
96	0.09660496655
97	0.09647040015
98	0.09638322339
99	0.09588478929
100	0.09563884708
101	0.09521630841
102	0.09510159653
103	0.09494510221
104	0.09469970867
105	0.09451088237
106	0.09437084345
107	0.09398195585
108	0.09369952814
109	0.0935206088
110	0.09344471029
111	0.09332138327
112	0.09288067176
113	0.09269367857
114	0.09248442921
115	0.09220213242
116	0.09195719605
117	0.09162991046
118	0.09145210031
119	0.09132013813
120	0.09120546406
121	0.09077678807
122	0.09061711747
123	0.09025967922
124	0.09012209668
125	0.08989342635
126	0.08980292912
127	0.08962046681
128	0.0893791549
129	0.08922330062
130	0.08908437905
131	0.08901222727
132	0.08883544462
133	0.08873505424
134	0.08866745861
135	0.0883843498
136	0.08828459641
137	0.08810777652
138	0.08799014693
139	0.08779029777
140	0.08765913809
141	0.0875673127
142	0.08741955667
143	0.08732054121
144	0.08710073063
145	0.08704783983
146	0.08701377847
147	0.08693552997
148	0.08685794642
149	0.08675031522
150	0.08666382265
151	0.08638559811
152	0.08617860791
153	0.0859731578
154	0.08572849397
155	0.08562919547
156	0.08552280796
157	0.08530079885
158	0.08518029409
159	0.08500521398
160	0.08484979918
161	0.08453899102
162	0.08442128572
163	0.08433530077
164	0.08421700576
165	0.08416456922
166	0.08409094449
167	0.08392772329
168	0.08372362461
169	0.08367181312
170	0.08347356589
171	0.08338262218
172	0.08330948155
173	0.08307261534
174	0.08301996832
175	0.08291762113
176	0.08277729167
177	0.08258468685
178	0.08248904677
179	0.08218812197
180	0.08212764923
181	0.08198119439
182	0.081902886
183	0.08186893008
184	0.08172436003
185	0.08156215283
186	0.08148061595
187	0.08133280103
188	0.08126649023
189	0.08113310997
190	0.08094866702
191	0.08083685711
192	0.08077082344
193	0.08073098288
194	0.08066823798
195	0.08060559374
196	0.08045179544
197	0.08037888881
198	0.08022049594
199	0.08014293069
200	0.08007199572
201	0.07995352757
202	0.07983204516
203	0.07975719239
204	0.07960334261
205	0.07954525871
206	0.07946298223
207	0.0794179066
208	0.07934167113
209	0.07925958956
210	0.07921981962
211	0.07916429748
212	0.07904050399
213	0.07899839209
214	0.07893703135
215	0.07884789816
216	0.07880385433
217	0.07873706284
218	0.07868073984
219	0.07858796515
220	0.07853676716
221	0.07849870688
222	0.0784523546
223	0.07840876491
224	0.07835559383
225	0.0782836518
226	0.07820893708
227	0.07812980238
228	0.07805199545
229	0.0780228218
230	0.07797765244
231	0.07790928427
232	0.07787495413
233	0.07777625815
234	0.07766377636
235	0.0775917214
236	0.07753715374
237	0.07750895004
238	0.07747863297
239	0.07741317002
240	0.0773772566
241	0.07732549501
242	0.07721510414
243	0.07718399725
244	0.07713953041
